ILCE;KAPINO;ENLEM;ACIKLAMA;ILCEID;MAHALLE;MAHALLEID;ADI;BOYLAM;YOL
URLA;;38.298984298217;3529-021-01;18;NOHUTALAN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.525836927425;KAVUN
URLA;;38.300071554855;3529-018-01;18;KUŞÇULAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.751069065998;KUŞÇULAR CAD.
URLA;;38.363116461656;3529-015-01;18;İSKELE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.766863942022;2110
URLA;;38.322357103101;3529-005-01;18;BARBAROS;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.57819691704;BARBAROS CAD.
URLA;;38.426711091287;3529-004-01;18;BALIKLIOVA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.577778336861;13000
TORBALI;;38.085313220152;3528-046-01;9;SAĞLIK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.399998176519;6350
KİRAZ;;38.224568372412;3519-003-01;994;ALTINOLUK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.35510526039;İLKOKUL BAHÇESİ - ALTINOLUK SOKAK
KARABAĞLAR;;38.380713409768;3531-006-01;19;AŞIK VEYSEL;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.13931300189;5848 SOKAK
KARABAĞLAR;;38.39999427527;3531-005-01;19;ARAP HASAN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.106451133046;ENGELLİLER PARKI - 259 SOKAK
ÖDEMİŞ;;38.234772944159;3524-099-01;998;ZAFER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.990145747861;ŞEHİT ŞÜKRÜ UZUN SOKAK
ÖDEMİŞ;;38.219706000399;3524-098-01;998;YUSUFDERE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.828870940596;OKUL BAHÇESİ - YUSUFDERE MAH. KÜMEEVLER
ÖDEMİŞ;;38.295473740274;3524-096-01;998;YILANLI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.124019889382;MAH. MEYDANI - YILANLI MAH. KÜMEEVLER
ÖDEMİŞ;;38.248572567855;3524-090-01;998;ÜÇKONAK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.086808431079;OKUL BAHÇESİ - ÜÇKONAK SOKAK
ÖDEMİŞ;;38.218994882105;3524-089-01;998;ÜÇ EYLÜL;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.959761303373;BAĞLAR CAD. VE KANTARCI SOKAK ARASI
ÖDEMİŞ;;38.338277370539;3524-083-01;998;TEKKE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.063509815296;OKUL BAHÇESİ - TEKKE MAH. KÜMEEVLER
SELÇUK;;37.991913597635;3526-014-01;10;ZEYTİNKÖY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.283398917089;ZEYTİNKÖY MAHALLESİ 132 PARSEL
SELÇUK;;37.915114085603;3526-002-01;10;ACARLAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.362898635743;OKUL SOKAK NO:2
MENEMEN;;38.701542822318;3522-013-01;17;BOZALAN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.195862178234;BOZALAN MAH. 122 ADA 5 PARSEL
MENEMEN;;38.582000201501;3522-004-01;17;85.YIL CUMHURİYET;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.978055458621;SEYREK MAH. 187 ADA ALT KISMI
KİRAZ;;38.111527010962;3519-001-01;994;AHMETLER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.412877145111;İLKOKUL BAHÇESİ - AHMETLER SOKAK
DİKİLİ;;39.024274830803;3511-010-01;995;ESENTEPE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.910123145994;ESENTEPE 4
DİKİLİ;;39.185011792303;3511-006-01;995;ÇUKURALANI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.939346163719;ÇUKURALAN MAH. MEYDANI - ATATÜRK CAD.
DİKİLİ;;39.027054973393;3511-001-01;995;BADEMLİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.821698198941;BADEMLİ MAH. OKULUNUN YANINDAKİ ÇAMLIK - 11 SOKAK
URLA;;38.326002731382;3529-030-01;18;YAKA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.75817186331;İLKOKUL BAHÇESİ - ALLI TURNA SOKAK
URLA;;38.323478598174;3529-027-01;18;TORASAN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.709330994761;566 SOKAK
URLA;;38.36328750251;3529-026-01;18;ŞİRİNKENT;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.842811474324;4238 SOKAK VE 4249 SOKAK KESİŞİMİ
ÖDEMİŞ;;38.063367013588;3524-065-01;998;KÜRE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.979217150064;OKUL BAHÇESİ - KÜRE MAH. KÜMEEVLER
ÖDEMİŞ;;38.24718097066;3524-061-01;998;KUTLUBEYLER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.098069739112;MAH. MEYDANI - KUTLUBEYLER MAH. KÜMEEVLER
ÖDEMİŞ;;38.204600945301;3524-058-01;998;KÖFÜNDERE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.158188415903;ESKİ OKUL BAHÇESİ - KÖFÜNDERE MAH. KÜMEEVLER
ÖDEMİŞ;;38.285357240609;3524-052-01;998;KEMER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.094454356154;ESKİ OKUL BAHÇESİ - KEMER MAH. KÜMEEVLER
ÖDEMİŞ;;38.163058097857;3524-049-01;998;KAYMAKÇI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.113486486758;SPOR SAHASI - MANOLYA SOK.
ÖDEMİŞ;;38.204443772398;3524-048-01;998;KAYAKÖY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.820448706931;23 NİSAN
ÖDEMİŞ;;38.271030115758;3524-038-01;998;GÜNLÜCE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.954411938643;OKUL BAHÇESİ - OKUL SOKAK
ÖDEMİŞ;;38.173820028652;3524-033-01;998;ERTUĞRUL;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.056761904805;OKUL BAHÇESİ - CAMİÖNÜ SOKAK
TİRE;;38.122347762761;3527-039-01;997;GÖKÇEN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.868384592478;GAZİ ATATÜRK CAD.
KARABAĞLAR;;38.384879373427;3531-050-01;19;UĞUR MUMCU;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.125039065805;SENİHA MAYDA ORTAOKULU
URLA;;38.31846381951;3529-025-01;18;SIRA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.760109504002;MANOLYA SOKAK VE MERİDYEN SOKAK KESİŞİMİ
URLA;;38.297446975283;3529-022-01;18;OVACIK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.80597192528;OVACIK CAD.
URLA;;38.365429823814;3529-019-01;18;M.FEVZİ ÇAKMAK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.837865361871;4108 SOKAK
URLA;;38.353126066952;3529-017-01;18;KALABAK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.80638078902;3302 SOKAK
URLA;;38.309007764875;3529-014-01;18;İÇMELER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.68225892649;NURİ ÖZBEK CAD. VE 1056/1 SOKAK KESİŞİMİ
URLA;;38.401866033629;3529-012-01;18;GÜVENDİK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.739122269925;MAVİ PLAJ CAD.
URLA;;38.386788620039;3529-010-01;18;DENİZLİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.748830666597;85 SOKAK
URLA;;38.228643038192;3529-009-01;18;DEMİRCİLİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.686869490536;10001
ÖDEMİŞ;;38.016164490197;3524-028-01;998;DEMİRDERE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.002064278526;DEMİRDERE
ÖDEMİŞ;;38.15333736976;3524-025-01;998;ÇAYLI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.144272162104;ULUS MEYDANI
ÖDEMİŞ;;38.231753053354;3524-018-01;998;BÜYÜKAVULCUK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.033311791405;OKUL BAHÇESİ- BÜYÜKAVULCUK MAH. KÜMEEVLER
ÖDEMİŞ;;38.246336921542;3524-011-01;998;BEYAZITLAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.038668262034;BEYAZITLAR MAH. KÜMEEVLER - ÖDEMİŞ YOLU
ÖDEMİŞ;;38.139643742573;3524-007-01;998;BALABANLI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.954775162304;OKUL BAHÇESİ - ATATÜRK CAD.
ÖDEMİŞ;;38.231164389203;3524-005-01;998;ATATÜRK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.977767472566;ULUS MEYDANI - TEĞMEN KALMAZ CAD.
ÖDEMİŞ;;38.345597302586;3524-004-01;998;ARTICAK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.002135282865;OKUL BAHÇESİ - ARTICAK MAH. KÜMEEVLER
ÖDEMİŞ;;38.235165392952;3524-003-01;998;ANAFARTALAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.977896041115;SAĞLIK CAD.
KARABURUN;;38.633120566802;3515-006-01;1000;SAİP;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.522007276551;İSKELE MAH. MEYDANI - 2306 SOKAK - BODRUM CAD. VE 2302 SOKAK KESİŞİMİ
ÖDEMİŞ;;38.189243503593;3524-088-01;998;UZUNDERE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.12834866119;OKUL BAHÇESİ - UZUNDERE MAH. KÜMEEVLER
ÖDEMİŞ;;38.22822458271;3524-017-01;998;BÜLBÜLLER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.836530727945;OKUL BAHÇESİ - BÜLBÜLLER MAH. KÜMEEVLER
ÖDEMİŞ;;38.083879085992;3524-076-01;998;PİRİNÇÇİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.079317717808;OKUL BAHÇESİ - PİRİNÇÇİ MAH. KÜMEEVLER
ÖDEMİŞ;;38.209506176006;3524-097-01;998;YOLÜSTÜ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.024133483511;OKUL BAHÇESİ - YOLÜSTÜ SOKAK
KINIK;;38.96615918609;3518-021-01;996;KARADERE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.45111858391;KARADERE MAH. MEYDANI - CAMİ ÖNÜ KÜMEEVLER
ÖDEMİŞ;;38.281303142541;3524-081-01;998;SÜLEYMANLAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.855483347924;OKUL BAHÇESİ - SÜLEYMANLAR MAH. KÜMEEVLER
KARABAĞLAR;;38.359794465383;3531-014-01;19;CENNETÇEŞME;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.088823289175;RAKIM ERKUTLU İLKOKULU VE ORTAOKULU
KARABAĞLAR;;38.368691466817;3531-007-01;19;AYDIN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.134287046927;4277 SOKAK İLE 4272 SOKAK ARASI YEŞİL ALAN
MENDERES;;38.103000878692;3521-010-01;13;ÇAMÖNÜ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.155831382644;İZMİR
URLA;;38.352950734564;3529-002-01;18;ATATÜRK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.780072766167;2172
URLA;;38.324424031147;3529-001-01;18;ALTINTAŞ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.757326291862;DÜNDAR SOKAK
KONAK;;38.419515130898;3520-113-01;21;ZEYTİNLİK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.163199357668;TÜLAY AKTAŞ PARKI (ZEYTİNLİK PARKI) - 1163 SOKAK
KONAK;;38.418196804561;3520-104-01;21;YENİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.138724823221;AGORA PARKI - TARIK SARI SOKAK
KONAK;;38.410834860707;3520-087-01;21;SAYGI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.176146106814;İZMİR 9 EYLÜL ROTARY KULÜBÜ PARKI - TOROS CAD.
KONAK;;38.403990407913;3520-085-01;21;PİRİ REİS;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.11415281752;ABDİ İPEKÇİ PARKI - 285/2 SOKAK
KONAK;;38.422235204952;3520-083-01;21;OĞUZLAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.148633884763;GAZİLER CAD.
KONAK;;38.402551677593;3520-079-01;21;MURAT REİS;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.110762254093;246
ÖDEMİŞ;;38.228358088246;3524-001-01;998;AKINCILAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.973516951479;ÜÇ EYLÜL TEYYARE PARKI - HÜRRİYET CAD. VE MİTHATPAŞA CAD. ARASI
KARABURUN;;38.636269402982;3515-009-01;1000;MERKEZ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.509756679144;CUMHURİYET MEYDANI
KONAK;;38.40744737892;3520-077-01;21;MİTHATPAŞA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.107391365253;MİTHATPAŞA
KONAK;;38.429848124336;3520-066-01;21;KÜLTÜR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.141034250395;ATATÜRK LİSESİ BAHÇESİ
KONAK;;38.427249372853;3520-107-01;21;YENİŞEHİR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.158022211976;İŞÇİLER
KONAK;;38.416307599806;3520-078-01;21;MURAT;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.181119200438;MUSTAFA RAHMİ BALABAN İLK VE ORTAOKULU
KONAK;;38.427707338869;3520-075-01;21;MİMAR SİNAN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.141749721744;KÜLTÜRPARK (FUAR) - 9 EYLÜL MEYDANI
KONAK;;38.397418424491;3520-071-01;21;MEHMET ALİ AKMAN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.073737445258;4/6
KONAK;;38.429797169278;3520-055-01;21;KAHRAMANLAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.15218085522;NEVZAT GÜZELIRMAK PARKI - NEVZAT GÜZELIRMAK SOKAK
KONAK;;38.408535302076;3520-026-01;21;ÇINARTEPE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.186002508296;AYDIN ERTEN REKREASYON ALANI - 2630 SOKAK
KONAK;;38.420807243247;3520-022-01;21;CENGİZ TOPEL;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.179081736092;REKREASYON ALANI - 1186/7 SOKAK
KONAK;;38.419757240182;3520-020-01;21;BOĞAZİÇİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.170865315369;GÖKSEL YAMAN PARKI - BOĞAZİÇİ CAD.
KONAK;;38.416176254159;3520-014-01;21;ANADOLU;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.17409882346;ATATÜRK MEYDANI - YENİ PLEVNE CAD.
KARABURUN;;38.564344334602;3515-008-01;1000;KÜÇÜKBAHÇE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.373749105529;DENİZGİREN KÜMEEVLER
KARABURUN;;38.54764190738;3515-007-01;1000;KÖSEDERE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.552889629676;KÖSEDERE KÜMEEVLER
KARABURUN;;38.550087367661;3515-005-01;1000;İNECİK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.565322551111;İNECİK KÜMEEVLER
TİRE;;38.111477632264;3527-037-01;997;ESKİOBA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.617310141571;ESKİOBA MAH. MEYDANI - KAVAK SOKAK
TİRE;;38.020630189577;3527-006-01;997;AKYURT;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.600936521936;AKYURT MAH. MEYDANI - AKYURT CUMHURİYET SOKAK
TİRE;;37.999611368589;3527-005-01;997;AKMESCİT;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.704927464955;AKMESCİT MAH. MEYDANI - KUZYAKA SOKAK
TİRE;;38.122842668309;3527-004-01;997;AKKOYUNLU;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.655248252482;CAMİİLİ SOKAK
KONAK;;38.405619384048;3520-067-01;21;LALE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.150807371891;GÜRÇEŞME LEMAN ALPTEKİN ORTAOKULU BAHÇESİ
FOÇA;;38.663509637702;3512-015-01;4;YENİBAĞARASI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.842999982284;YENİFOÇA CADDESİ VE 1005. SOKAK KESİŞİMİ
FOÇA;;38.715909427132;3512-012-01;4;KOZBEYLİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.894499635373;KOZBEYLİ PAZAR ALANI
MENDERES;;38.242204056172;3521-008-01;13;CÜNEYTBEY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.134988122633;İBRAHİM TURAN
MENDERES;;38.215047309929;3521-007-01;13;BULGURCA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.229157792394;ATAM BULVARI  NO:20
GAZİEMİR;;38.293350893723;3513-013-01;15;MENDERES;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.167828005445;SARNIÇ REKREASYON ALANI - 1010 SOKAK VE 1012 SOKAK KESİŞİMİ
NARLIDERE;;38.407009098034;3523-010-01;5;SAHİLEVLERİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.00666120414;BÜŞRA
TORBALI;;38.245412403075;3528-019-01;9;DİRMİL;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.42249780664;DİRMİL MAHALLESİ GAZİ CADDESİ
TORBALI;;38.281212078501;3528-018-01;9;DEMİRCİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.286098432199;DEMİRCİ MAHALLESİ 6254 SOKAK
TORBALI;;38.307608719309;3528-016-01;9;DAĞKIZILCA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.393595860277;6213
TORBALI;;38.23101240862;3528-014-01;9;ÇAPAK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.3530981777;2540
TORBALI;;38.104213219632;3528-010-01;9;BÜLBÜLDERE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.499897641235;YUNUS EMRE
FOÇA;;38.65250976436;3512-013-01;4;MAREŞAL FEVZİ ÇAKMAK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.907099684898;ADNAN MENDERES VE 11 EYLÜL CADDESİ KESİŞİMİ
FOÇA;;38.651109768029;3512-010-01;4;KEMAL ATATÜRK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.903999703428;522.SOKAK VE FATİH CADDESİ KESİŞİMİ
GAZİEMİR;;38.315263028657;3513-010-01;15;GAZİKENT;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.138433377636;AHMET TANER KIŞLALI SPOR SALONU ÇEVRESİ -  GAZİ ATATÜRK BULVARI
GAZİEMİR;;38.307333868535;3513-008-01;15;FATİH;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.175730962673;SARNIÇ PİKNİK ALANI - ÇAMLIK CAD.
GAZİEMİR;;38.329247676128;3513-006-01;15;DOKUZ EYLÜL;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.138501092102;9 EYLÜL PİKNİK ALANI -KAHRAMANLAR CAD. VE 332 SOKAK ARASI
GAZİEMİR;;38.348995036518;3513-005-01;15;BİNBAŞI REŞATBEY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.134624193426;351 SOKAK
NARLIDERE;;38.396974904458;3523-009-01;5;NARLI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.002328551875;MUSTAFA KEMAL SAHİL
KONAK;;38.407044782875;3520-052-01;21;İSMET PAŞA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.159237586712;RIDVAN NAZİF EDGÜER ORTAOKULU YANI (ESKİ HAYDAR RÜŞTÜ ÖKTEM ANADOLU LİSESİ)
KONAK;;38.424128056968;3520-047-01;21;HİLAL;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.157541758666;1215
KONAK;;38.419740336354;3520-041-01;21;GÜNEY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.157485207385;KONAK MUSTAFA KEMAL ATATÜRK MESLEKİ VE TEKNİK ANADOLU LİSESİ
KONAK;;38.442163490996;3520-025-01;21;ÇINARLI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.178870004462;ÇINARLI REKREASYON ALANI
KONAK;;38.405875945522;3520-016-01;21;ATİLLA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.122764433168;MÜBADELE PARKI - 471 SOKAK VE 487 SOKAK
KONAK;;38.438660164922;3520-010-01;21;ALSANCAK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.143457491917;KIBRIS ŞEHİTLERİ PARKI - KIBRIS ŞEHİTLERİ CADDESİ
TİRE;;38.098578217751;3527-087-01;997;YENİOBA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.579024659813;BAYAR SOKAK
SELÇUK;;37.944793127681;3526-012-01;10;ŞİRİNCE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.43164271268;KAYSERKAYA
SELÇUK;;37.883392307977;3526-009-01;10;HAVUTÇULU;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.416634410888;506 SOKAK
SELÇUK;;37.943761938796;3526-006-01;10;CUMHURİYET;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.368845559526;KUBİLAY CAD.
MENDERES;;38.277525995034;3521-035-01;13;KISIK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.186129940773;7709 SOKAK NO:1
MENDERES;;38.133632120308;3521-031-01;13;KARAKUYU;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.234801233423;KARAKUYU
MENDERES;29;38.289672868776;3521-029-01;13;HÜRRİYET;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.125453224537;ZİYA GÖKALP
MENDERES;1;38.070703888144;3521-025-01;13;GÜMÜLDÜR ATATÜRK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.001297221354;MERYEM ANA
MENEMEN;;38.598392058519;3522-060-01;17;VİLLAKENT;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.923092702047;5159 SOKAK VE 5161 SOKAK ARASI
MENEMEN;;38.636715050144;3522-049-01;17;MUSABEY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.006434715837;300
MENEMEN;;38.573125133568;3522-016-01;17;CUMHURİYET;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.062928631749;SEVGİ
URLA;;38.322870311274;3529-032-01;18;HACI İSA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.767083966261;BÜLENT BARATLI BULVARI VE ZAFER CADDESİ KESİŞİMİ
TİRE;;37.991697761806;3527-061-01;997;KÜÇÜKBURUN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.789847626985;KÜÇÜKBURUN MAH. MEYDANI - KÜÇÜKBURUN OKUL SOKAK
TİRE;;38.110951793628;3527-055-01;997;KIRTEPE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.887444236343;KIRTEPE MAH. MEYDANI - KÖY MEYDANI SOKAK
TİRE;;37.981088449949;3527-030-01;997;DİBEKÇİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.814181514736;MERKEZ SOKAK
TİRE;;38.062158488536;3527-026-01;997;DALLIK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.799020312894;DALLIK CUMHURİYET SOKAK
TİRE;;38.002410196303;3527-025-01;997;DAĞDERE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.75095952231;ORTA SOKAK
TİRE;;37.977026173495;3527-021-01;997;ÇERİKÖZÜ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.795499345743;PINARBAŞI SOKAK
MENEMEN;;38.539886997379;3522-005-01;17;9 EYLÜL;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.036235085357;251
KARŞIYAKA;;38.458448261623;3516-002-01;20;ALAYBEY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.123165255952;METİN ALTIOK
SELÇUK;;37.954453527227;3526-013-01;10;ZAFER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.37435466966;3016 SOKAK VE 3026 SOKAK ARASI
SELÇUK;;37.882495789749;3526-011-01;10;SULTANİYE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.335784814507;SULTANİYE MAH. MEYDANI - EYİCE SOKAK
TORBALI;;38.268912139628;3528-062-01;9;YOĞURTÇULAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.282998468924;6451 SOKAK
TORBALI;;38.171912810182;3528-050-01;9;TAŞKESİK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.445197810599;6375 SOKAK
GÜZELBAHÇE;;38.373821776898;3514-009-01;1;SİTELER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.873864734142;368
SELÇUK;;37.885670259451;3526-007-01;10;ÇAMLIK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.380196594062;ÇAMLIK ATATÜRK CAD.
KEMALPAŞA;;38.385601600554;3517-049-01;6;YUKARIKIZILCA MERKEZ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.498466765248;İZMİR CAD. VE YUKARI KIZILCA BELEDİYE CAD. KESİŞİMİ
TORBALI;;38.210012577557;3528-013-01;9;ÇAMLICA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.412197915094;ÇAMLICA MAHALLESİ ÇAMLICA KÖYİÇİ YOLU
TORBALI;;38.271112211831;3528-009-01;9;BOZKÖY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.365598050051;BOZKÖY MAHALLESİ 6101 SOKAK
